id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1517858762035544066,1517857971493036032,2022-04-23 16:31:43 ????????????? ????? (????),2022-04-23,16:31:43,+0300,1234115936510251010,realkfiros,kfiros 🇮🇱,,@SBernshtain אני אקנה חולצת Kfiros 21 של ווטפורד  https://t.co/2VZRLTeRRt,iw,[],[],['https://pbs.twimg.com/media/FRCEfNsXoAAw2LD.jpg'],0,0,0,[],[],https://twitter.com/realKfiros/status/1517858762035544066,False,,1,https://pbs.twimg.com/media/FRCEfNsXoAAw2LD.jpg,Haifa,,,,,,"[{'screen_name': 'SBernshtain', 'name': 'Shaked Bernshtain 💚❤️', 'id': '3313736450'}]",,,,
1517858752128499713,1517858465175191554,2022-04-23 16:31:41 ????????????? ????? (????),2022-04-23,16:31:41,+0300,3212780932,liadlivneh,Liad Livneh,,@elad16gal על מי זה,iw,[],[],[],1,0,1,[],[],https://twitter.com/LiadLivneh/status/1517858752128499713,False,,0,,Haifa,,,,,,"[{'screen_name': 'elad16gal', 'name': 'הפרייבט שבתוך הפרייבט', 'id': '1511035181553041412'}]",,,,
1517858741831536643,1517858355821305856,2022-04-23 16:31:39 ????????????? ????? (????),2022-04-23,16:31:39,+0300,1435655870650650625,alterbizaion,Eran Kaftorim,,@thebaddestbiych מה זה נמוך באופן טוב?,iw,[],[],[],0,0,0,[],[],https://twitter.com/alterbizaion/status/1517858741831536643,False,,0,,Haifa,,,,,,"[{'screen_name': 'thebaddestbiych', 'name': 'איילת בויטום', 'id': '1401157205982957568'}]",,,,
1517858728002965506,1517858728002965506,2022-04-23 16:31:35 ????????????? ????? (????),2022-04-23,16:31:35,+0300,1239274217218203650,pudikov_denis,Denis Pudikov 😉🍻🇺🇦,, https://t.co/gFx6PKn3FM,und,[],['https://open.spotify.com/track/2w5w3fpTsjJPixstfDkgpD?si=Dv4Mfb5sQOa1VaR7tzdRAw'],[],0,0,0,[],[],https://twitter.com/pudikov_denis/status/1517858728002965506,False,,0,,Haifa,,,,,,[],,,,
1517858680196431877,1517775545676804098,2022-04-23 16:31:24 ????????????? ????? (????),2022-04-23,16:31:24,+0300,783745195296886784,levym665,משה לוי,,"@KozmaYossi @Ranin_Boulos ההתחברות לנוצרים בלבנון עלתה לנו ביותר מ 1,000 חללים ,ללא כל הישג מדיני או צבאי .אתה צודק לגבי העובדה שהאיסלאם של היום הוא קיצוני הרבה יותר ( גם אצל הסונים וגם אצל השיעים ) והנצרות הנוכחית פנתה לכיוון המקורי לשמו היא נוסדה .אבל התעלמות מהעבר היא לעיתים מסוכנת.",iw,[],[],[],0,0,0,[],[],https://twitter.com/levym665/status/1517858680196431877,False,,0,,Haifa,,,,,,"[{'screen_name': 'KozmaYossi', 'name': 'YUSSUF WOLFF', 'id': '1140696112887672833'}, {'screen_name': 'Ranin_Boulos', 'name': 'Ranin D. Boulos', 'id': '325520362'}]",,,,
1517858390776680448,1517814915641364482,2022-04-23 16:30:15 ????????????? ????? (????),2022-04-23,16:30:15,+0300,17515930,maayanale,Ma'ayan Alexander,,@CatRobotIL עד שפעם אחת ידרוך על דבורה גוססת ויעקץ בכף הרגל. יעבור לו.,iw,[],[],[],0,0,0,[],[],https://twitter.com/maayanale/status/1517858390776680448,False,,0,,Haifa,,,,,,"[{'screen_name': 'CatRobotIL', 'name': 'Jonathan Grossman', 'id': '190964000'}]",,,,
1517858326809296897,1517809085671948290,2022-04-23 16:30:00 ????????????? ????? (????),2022-04-23,16:30:00,+0300,831561812667727872,yshaycohen,Yshaycohn🧞‍♂️,,"@Yoav__Zehavi אולי תעשה כתבה על הבלתי יאמן.  לחיפה יש שדה תעופה עירוני בינ""ל שחברות תעופה הפסיקו  להשתמש בו משום שהמסלול ההמראה קצר. המסלול אגב מסתיים בים.",iw,[],[],[],0,0,0,[],[],https://twitter.com/yshaycohen/status/1517858326809296897,False,,0,,Haifa,,,,,,"[{'screen_name': 'Yoav__Zehavi', 'name': 'Yoav Zehavi יואב זהבי يوآف زهافي', 'id': '64091109'}]",,,,
1517858323491663874,1517855935892541444,2022-04-23 16:29:59 ????????????? ????? (????),2022-04-23,16:29:59,+0300,712700307491450881,davidbnut,DaViD B,,@aaocph2 פיתות,iw,[],[],[],1,0,1,[],[],https://twitter.com/DavidBnut/status/1517858323491663874,False,,0,,Haifa,,,,,,"[{'screen_name': 'aaocph2', 'name': '\u200f\u200eהשרה לענייני גיפים והוד מעלתה הילה הוך פרץ 👑🔴', 'id': '1370294697407754240'}]",,,,
1517858114128674817,1517858114128674817,2022-04-23 16:29:09 ????????????? ????? (????),2022-04-23,16:29:09,+0300,3241500878,arab48website,موقع عرب 48,,"ضابط بـ""الحرس الثوري"" الإيراني ينجو من محاولة اغتيال  https://t.co/VvzRJTHj3P",ar,[],['https://short.arab48.com/short/bsT2'],[],0,0,0,[],[],https://twitter.com/arab48website/status/1517858114128674817,False,,0,,Haifa,,,,,,[],,,,
1517858081413206024,1517857341475106819,2022-04-23 16:29:01 ????????????? ????? (????),2022-04-23,16:29:01,+0300,1483384631709900802,adam7king2,Adam7king,,@IJJosh Fair,fr,[],[],[],0,0,0,[],[],https://twitter.com/Adam7king2/status/1517858081413206024,False,,0,,Haifa,,,,,,"[{'screen_name': 'IJJosh', 'name': 'Logo Josh', 'id': '457794503'}]",,,,
1517858049351995392,1517850756635836417,2022-04-23 16:28:54 ????????????? ????? (????),2022-04-23,16:28:54,+0300,712700307491450881,davidbnut,DaViD B,,@josbnn 🤗,und,[],[],[],0,0,0,[],[],https://twitter.com/DavidBnut/status/1517858049351995392,False,,0,,Haifa,,,,,,"[{'screen_name': 'josbnn', 'name': 'JoseB$🟠', 'id': '495189085'}]",,,,
