sid,label
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
