id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1518268928094527490,1517940982976860161,2022-04-24 19:41:35 ????????????? ????? (????),2022-04-24,19:41:35,+0300,70086101,ezmilll,Eezy M,,@GalitDistel אוי ביש גדא ביש גדא,iw,[],[],[],0,0,0,[],[],https://twitter.com/EZMilll/status/1518268928094527490,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'GalitDistel', 'name': 'גלית דיסטל אטבריאן', 'id': '1379713510528200706'}]",,,,
1518268919399780352,1518267491877023744,2022-04-24 19:41:33 ????????????? ????? (????),2022-04-24,19:41:33,+0300,1305073502542802944,isc7o,khalid,,@ihosmessi غير صحيح,ar,[],[],[],0,0,0,[],[],https://twitter.com/isc7o/status/1518268919399780352,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'ihosmessi', 'name': 'H', 'id': '1391239092906741762'}]",,,,
1518268918661591041,1518261413701160963,2022-04-24 19:41:32 ????????????? ????? (????),2022-04-24,19:41:32,+0300,1446703480878649345,_7as77,حسن الله يوفقه,,@N___v1 🐍,und,[],[],[],0,0,0,[],[],https://twitter.com/_7as77/status/1518268918661591041,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'N___v1', 'name': '\u200f﮼،نوف﮼،الممرضه ﮼👩🏻\u200d⚕️\uea00', 'id': '1480383736822784001'}]",,,,
1518268913158705160,1518193433093025794,2022-04-24 19:41:31 ????????????? ????? (????),2022-04-24,19:41:31,+0300,71991911,levydor,דור-ניצול פארמה-🤺קובידפובים!,,"@Naamamo @IsraelMOH מטורף, איבדו את זה לגמרי. אסור להעמיס על המערכת החיסונית כשהיא עסוקה במחלה, או נחה ממנה.  זה היה common knowledge בעבר גם כשלא הבנו את נזקי החיסונים. המערכת נעשתה מטורללת על כל הראש וכנראה מכבי במיוחד.",iw,[],[],[],0,0,0,[],[],https://twitter.com/levydor/status/1518268913158705160,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'Naamamo', 'name': 'Naama.', 'id': '2679463669'}, {'screen_name': 'IsraelMOH', 'name': 'משרד הבריאות', 'id': '2255841259'}]",,,,
1518268901238484995,1518264631420231681,2022-04-24 19:41:28 ????????????? ????? (????),2022-04-24,19:41:28,+0300,586468336,fredericsinatra,frederic sinatra,,@Le_patriote13 Ils connaissent les résultats une semaine avant à chaque fois et on nous dit que le dépouillement comment a 19h.🤪,fr,[],[],[],0,0,0,[],[],https://twitter.com/fredericsinatra/status/1518268901238484995,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'Le_patriote13', 'name': 'LE PATRIOTE', 'id': '1482381587400511488'}]",,,,
1518268900638703616,1518261413701160963,2022-04-24 19:41:28 ????????????? ????? (????),2022-04-24,19:41:28,+0300,1446703480878649345,_7as77,حسن الله يوفقه,,@5li_b 🥵,und,[],[],[],0,0,0,[],[],https://twitter.com/_7as77/status/1518268900638703616,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': '5li_b', 'name': 'بيانُ', 'id': '1452359986772852744'}]",,,,
1518268881386848257,1518262361915904002,2022-04-24 19:41:24 ????????????? ????? (????),2022-04-24,19:41:24,+0300,810601237,ellakone,Ella Kônè. 🇮🇱🟣🇺🇦,,@motiszuszan1958 ככה צריך להיות.,iw,[],[],[],0,0,0,[],[],https://twitter.com/EllaKone/status/1518268881386848257,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'motiszuszan1958', 'name': 'מוטי שושן', 'id': '1148264754907111424'}]",,,,
1518268875472781317,1517927465703907328,2022-04-24 19:41:22 ????????????? ????? (????),2022-04-24,19:41:22,+0300,1355206244382990338,yuval29484733,Graf Potozky,,@MaozArie *אם,iw,[],[],[],0,0,0,[],[],https://twitter.com/Yuval29484733/status/1518268875472781317,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'MaozArie', 'name': 'arie maoz', 'id': '125970796'}]",,,,
1518268874101301250,1518267630532141059,2022-04-24 19:41:22 ????????????? ????? (????),2022-04-24,19:41:22,+0300,328118382,swedishkeren,SwedishKeren,,@supercoquette וואי ממש. חצופים כאלה,iw,[],[],[],0,0,0,[],[],https://twitter.com/swedishkeren/status/1518268874101301250,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'supercoquette', 'name': 'הקוקט 🦢', 'id': '53766999'}]",,,,
1518268873845489664,1518261413701160963,2022-04-24 19:41:22 ????????????? ????? (????),2022-04-24,19:41:22,+0300,1446703480878649345,_7as77,حسن الله يوفقه,,@dreadlif 😈,und,[],[],[],0,0,0,[],[],https://twitter.com/_7as77/status/1518268873845489664,False,,0,,Tel-Aviv,,,,,,"[{'screen_name': 'dreadlif', 'name': 'أتين العتيبي🇸🇦.', 'id': '1351978293583605769'}]",,,,
