Original Name,Gender,Description,Location
ABEBE,male,one who wards off,African
ABEL,male,"breath , vapor ; transitoriness",African
ABIDEMI,male,I am Father reborn ( ? ),African
ABIMBOLA,male,born to be rich,African
ABIOYE,male,born during coronation,African
ABRAFO,male,executioner,African
ADEGOKE,male,crown-ascending,African
ADEOLA,male,crown of high estate,African
ADETOKUNBO,male,he will wear the crown of the sea,African
ADEYEMI,male,a crown suits me,African
ADISA,male,"I am grave , or , I speak gravely",African
ADONGO,male,second-born of twins,African
AFOLABI,male,high-born,African
AKUA,male,born on Wednesday,African
AKWASI,male,born on Sunday,African
ALABA,male,one person ; an individual,African
ALPHA,male,the first letter of the Greek alphabet,African
AMADI,male,seemed destined to die at birth,African
AMARA,male,"agreeable , pleasing",African
ANAN,male,fourth born child,African
ANYIM,male,from the Niger river,African
APIO,male,the one who comes quickly ( the first-born of twins ),African
APIYO,male,the one who comes quickly ( the first-born of twins ),African
APUNDA,male,one who is beside himself,African
ARAPMOI,male,son of Moi ( the clan ),African
ARJANA,male,paradise,African
ARKAMUN,male,an Ethiopian king ; Ergamenes,African
ARKENKHEREL,male,a late Ethiopian king,African
ASPURTA,male,a king of Ethiopia,African
ASROMIAMUN,male,an obscure Ethiopian king,African
ATAKHERAMEN,male,an obscure Ethiopian king,African
ATSU,male,first-born of twin brothers,African
AWOTWI,male,born eighth,African
AYO,male,"joy ; or , valued",African
AYODELE,male,joy of the house,African
AYOKUNLE,male,joy fills our home,African
AYOTUNDE,male,joy has returned,African
AZUBUIKE,male,he has much strength,African
BAAKO,male,first born,African
BAAS,male,master,African
BABA,male,father,African
BABAJIDE,male,father has come back,African
BABATUNDE,male,father has returned,African
BAMIDELE,male,bring me home,African
BAPOTO,male,"disturbance , noise",African
BARAKA,male,blessing,African
BARASA,male,rum,African
BBWADDENE,male,like a large dog,African
BHEKIZITHA,male,watches for the enemy,African
BLESSING,male,blessing,African
BLYDS,male,lightning,African
BOHLALE,male,wisdom,African
BOIPELO,male,self-glorifying,African
BOIPUSO,male,self-governed,African
BOITUMELO,male,joy,African
BONGANI,male,thankful,African
BUJUNE,male,"sorrow , troubles",African
BUTANNAZIBA,male,who walks before the night,African
BUZIBA,male,night,African
CELESTINE,male,heavenly,African
CETSHWAYO,male,the slandered one,African
CHAKIDE,male,a mongoose or weasel,African
CHIBUEZE,male,God is the king,African
CHIBUZO,male,God leads,African
CHIDI,male,God lives,African
CHIDIEBERE,male,God is gentle,African
CHIDUBEM,male,may God lead me,African
CHIENG,male,God of day ; God of the sun,African
CHIGARU,male,like a large dog,African
CHIKA,male,God is the greatest,African
CHILONGOLA,male,irst-born son,African
CHIMA,male,God knows,African
CHIMOLA,male,breaker of things,African
CHINAZA,male,God answers ( my prayer ),African
CHINEDU,male,God is my leader,African
CHINWE,male,God owns me,African
CHINWENDU,male,God owns life,African
CHIPO,male,gift,African
CHIRATIDZO,male,a sign,African
CHITEMO,male,axe,African
CHIZOBA,male,may God save,African
CHUKWUEMEKA,male,the great God succeeds,African
CUDJO,male,Monday-born,African
DADA,male,nature,African
DABULAMANZI,male,divider of waters,African
DAFARI,male,first-born son,African
DAMBUDZO,male,adversity,African
DAYO,male,joy arrives,African
DEDE,male,"a jigger ; or , a grasshopper",African
DELMAR,male,at the sea,African
DOSU,male,born after twins,African
DUBAKU,male,eleventh born child,African
DUBE,male,zebra,African
DUMISA,male,"honor , worship ; or , thunder",African
DUMISANI,male,"honorable ; or , thunderous",African
