Original Name,Name in Other Language,Language,Location
CHANDAKI,חנדכי,African,African
ASLAM,اسلم,Arabian,Arabian
SHEDAD,شدّاد,Arabian,Arabian
SHEDID,شديد,Arabian,Arabian
ALLAT,اللات,Arabian,Arabian
HALIMA,حليمة,Arabian,Arabian
HAQIQAH,حقيقة,Arabian,Arabian
HASINA,حسنة,Arabian,Arabian
REHEMA,رحيمة,Arabian,Arabian
SALAMA,سلامه,Arabian,Arabian
SALIHAH,صالحه,Arabian,Arabian
WALIDAH,وليدة,Arabian,Arabian
ANTON,Антон,Bulgarian,Bulgarian
DRAGOMIR,Драгомир,Bulgarian,Bulgarian
ILIAN,Илиян,Bulgarian,Bulgarian
IVAN,Иван,Bulgarian,Bulgarian
LUBOMÍR,Любомир,Bulgarian,Bulgarian
LUDMIL,Лудмил,Bulgarian,Bulgarian
LYUBOMIR,Любомир,Bulgarian,Bulgarian
MIROSLAV,Мирослав,Bulgarian,Bulgarian
PERO,Перо,Bulgarian,Bulgarian
RADOMIR,Радомир,Bulgarian,Bulgarian
TOMA,Тома,Bulgarian,Bulgarian
VLADIMIR,Влади́мир,Bulgarian,Bulgarian
ZLATKO,Златко,Bulgarian,Bulgarian
ANA,Ана,Bulgarian,Bulgarian
ANNA,Анна,Bulgarian,Bulgarian
EMILIYA,Емилия,Bulgarian,Bulgarian
IVANA,Ивана,Bulgarian,Bulgarian
IZABELA,Изабела,Bulgarian,Bulgarian
LJUBINA,Љубина,Bulgarian,Bulgarian
LYUBINA,Љубина,Bulgarian,Bulgarian
MIROSLAVA,Мирослава,Bulgarian,Bulgarian
PAVLA,Павла,Bulgarian,Bulgarian
PAVLINA,Павлина,Bulgarian,Bulgarian
RADOMIRA,Радомира,Bulgarian,Bulgarian
SIMONA,Симона,Bulgarian,Bulgarian
SOFIJA,София,Bulgarian,Bulgarian
SVETLA,Светла,Bulgarian,Bulgarian
SVETLANA,Светлана,Bulgarian,Bulgarian
TATYANA,Татья́на,Bulgarian,Bulgarian
TEREZA,Тереза,Bulgarian,Bulgarian
VLADIMÍRA,Владимира,Bulgarian,Bulgarian
ABDON,עַבְדּוֹן,English,English
ABIMELECH,אֲבִימֶלֶך,English,English
ABRAHAM,אַבְרָהָם,English,English
ABRAM,Ἅβραμ,Greek,English
ABRAM,אַבְרָם,Hebrew,English
ACHAR,עָכָר,English,English
ADAM,Ἀδάμ,Greek,English
ADAM,אָדָם,Hebrew,English
ADONIA,אֲדּׄנִיָּה,English,English
ALEXANDER,אֲלֶכְּסַנְדֶר,Hebrew,English
ALON,אַלוֹן,English,English
ALPHA,Άλφα,English,English
ALTAIR,الطير,Arabic,English
AMARIAH,אֲמַרְיָה,English,English
ARIDAI,אֲרִידַי,English,English
ASHER,אָשֵׁר,English,English
BANI,בָּנִי,English,English
DAN,דָּן,English,English
DAVID,דָּוִד,English,English
DAVID,דָּוִיד,English,English
EDEN,עֵדֶן,English,English
ELYASAF,אֱלְיָסָף,English,English
IVAN,Иван,English,English
KENAN,קַינָן,English,English
LEON,Λέων,English,English
MIYKAH,מִיכָה,English,English
MYRON,Μύρων,English,English
OMEGA,Ωμέγα,English,English
SELA,סֶלַע,English,English
SILAS,Σίλας,English,English
TUBAL,תּוּבַל,English,English
URIEL,אוּרִיאֵל,English,English
ZIMRI,זִמְרִי,English,English
ADI,עֲדִי,English,English
ADINA,עֲדִינָא,English,English
