Source,Target
ABEBE,ABEBI
ABEBI,ABEBE
AKUA,KWAKU
AKUA,EKUA
AKUA,KWEKU
KWAKU,AKUA
KWAKU,EKUA
KWAKU,KWEKU
EKUA,AKUA
EKUA,KWAKU
EKUA,KWEKU
KWEKU,AKUA
KWEKU,KWAKU
KWEKU,EKUA
KWASI,ESI
KWASI,AKWASIBAH
KWASI,KWESI
KWASI,AKWASI
ESI,KWASI
ESI,AKWASIBAH
ESI,KWESI
ESI,AKWASI
AKWASIBAH,KWASI
AKWASIBAH,ESI
AKWASIBAH,KWESI
AKWASIBAH,AKWASI
KWESI,KWASI
KWESI,ESI
KWESI,AKWASIBAH
KWESI,AKWASI
AKWASI,KWASI
AKWASI,ESI
AKWASI,AKWASIBAH
AKWASI,KWESI
APIO,APIYO
APIYO,APIO
FIRDAUS,ARJANA
FIRDAUS,FIRDOUS
FIRDAUS,FIRDOS
ARJANA,FIRDAUS
ARJANA,FIRDOUS
ARJANA,FIRDOS
FIRDOUS,FIRDAUS
FIRDOUS,ARJANA
FIRDOUS,FIRDOS
FIRDOS,FIRDAUS
FIRDOS,ARJANA
FIRDOS,FIRDOUS
ATAKHERAMEN,ASROMIAMUN
ATAKHERAMEN,PER-UI
ASROMIAMUN,ATAKHERAMEN
ASROMIAMUN,PER-UI
PER-UI,ATAKHERAMEN
PER-UI,ASROMIAMUN
MOSI,BAAKO
BAAKO,MOSI
BAAS,MÂLEK
MÂLEK,BAAS
ABUM,AÏTOR
ABUM,AMA
ABUM,ATI
ABUM,ATTA
ABUM,BABA
ABUM,PEPIJN
ABUM,ABBAS
ABUM,ATEF
ABUM,HAYRIG
ABUM,ABBA
ABUM,HAIG
AÏTOR,ABUM
AÏTOR,AMA
AÏTOR,ATI
AÏTOR,ATTA
AÏTOR,BABA
AÏTOR,PEPIJN
AÏTOR,ABBAS
AÏTOR,ATEF
AÏTOR,HAYRIG
AÏTOR,ABBA
AÏTOR,HAIG
AMA,ABUM
AMA,AÏTOR
AMA,ATI
AMA,ATTA
AMA,BABA
AMA,PEPIJN
AMA,ABBAS
AMA,ATEF
AMA,HAYRIG
AMA,ABBA
AMA,HAIG
ATI,ABUM
ATI,AÏTOR
ATI,AMA
ATI,ATTA
ATI,BABA
ATI,PEPIJN
ATI,ABBAS
ATI,ATEF
ATI,HAYRIG
ATI,ABBA
ATI,HAIG
ATTA,ABUM
ATTA,AÏTOR
ATTA,AMA
ATTA,ATI
ATTA,BABA
ATTA,PEPIJN
ATTA,ABBAS
ATTA,ATEF
ATTA,HAYRIG
ATTA,ABBA
ATTA,HAIG
BABA,ABUM
BABA,AÏTOR
BABA,AMA
BABA,ATI
BABA,ATTA
BABA,PEPIJN
BABA,ABBAS
BABA,ATEF
BABA,HAYRIG
BABA,ABBA
BABA,HAIG
PEPIJN,ABUM
PEPIJN,AÏTOR
PEPIJN,AMA
PEPIJN,ATI
PEPIJN,ATTA
PEPIJN,BABA
PEPIJN,ABBAS
PEPIJN,ATEF
PEPIJN,HAYRIG
PEPIJN,ABBA
PEPIJN,HAIG
ABBAS,ABUM
ABBAS,AÏTOR
ABBAS,AMA
ABBAS,ATI
ABBAS,ATTA
ABBAS,BABA
ABBAS,PEPIJN
ABBAS,ATEF
ABBAS,HAYRIG
ABBAS,ABBA
ABBAS,HAIG
ATEF,ABUM
ATEF,AÏTOR
ATEF,AMA
ATEF,ATI
ATEF,ATTA
ATEF,BABA
ATEF,PEPIJN
ATEF,ABBAS
ATEF,HAYRIG
ATEF,ABBA
ATEF,HAIG
HAYRIG,ABUM
HAYRIG,AÏTOR
HAYRIG,AMA
HAYRIG,ATI
HAYRIG,ATTA
HAYRIG,BABA
HAYRIG,PEPIJN
HAYRIG,ABBAS
HAYRIG,ATEF
HAYRIG,ABBA
HAYRIG,HAIG
ABBA,ABUM
ABBA,AÏTOR
ABBA,AMA
ABBA,ATI
ABBA,ATTA
ABBA,BABA
ABBA,PEPIJN
ABBA,ABBAS
ABBA,ATEF
ABBA,HAYRIG
ABBA,HAIG
HAIG,ABUM
HAIG,AÏTOR
HAIG,AMA
HAIG,ATI
HAIG,ATTA
HAIG,BABA
HAIG,PEPIJN
HAIG,ABBAS
HAIG,ATEF
HAIG,HAYRIG
HAIG,ABBA
BARAKA,BLESSING
BARAKA,BENDISION
BARAKA,BEKIM
BLESSING,BARAKA
BLESSING,BENDISION
BLESSING,BEKIM
BENDISION,BARAKA
BENDISION,BLESSING
BENDISION,BEKIM
BEKIM,BARAKA
BEKIM,BLESSING
BEKIM,BENDISION
BBWADDENE,CHIGARU
CHIGARU,BBWADDENE
ILDERIM,BORAK
ILDERIM,BLYDS
ILDERIM,VETON
ILDERIM,SHANT
BORAK,ILDERIM
BORAK,BLYDS
BORAK,VETON
BORAK,SHANT
BLYDS,ILDERIM
BLYDS,BORAK
BLYDS,VETON
BLYDS,SHANT
VETON,ILDERIM
VETON,BORAK
VETON,BLYDS
VETON,SHANT
SHANT,ILDERIM
SHANT,BORAK
SHANT,BLYDS
SHANT,VETON
BOHLALE,SOFIE
BOHLALE,SOFIYA
BOHLALE,HIKMAT
BOHLALE,SOFIETJE
BOHLALE,SOFIYKO
BOHLALE,SOFIJA
BOHLALE,ŽOFIE
SOFIE,BOHLALE
SOFIE,SOFIYA
SOFIE,HIKMAT
SOFIE,SOFIETJE
SOFIE,SOFIYKO
SOFIE,SOFIJA
SOFIE,ŽOFIE
SOFIYA,BOHLALE
SOFIYA,SOFIE
SOFIYA,HIKMAT
SOFIYA,SOFIETJE
SOFIYA,SOFIYKO
SOFIYA,SOFIJA
SOFIYA,ŽOFIE
HIKMAT,BOHLALE
HIKMAT,SOFIE
HIKMAT,SOFIYA
HIKMAT,SOFIETJE
HIKMAT,SOFIYKO
HIKMAT,SOFIJA
HIKMAT,ŽOFIE
SOFIETJE,BOHLALE
SOFIETJE,SOFIE
SOFIETJE,SOFIYA
SOFIETJE,HIKMAT
SOFIETJE,SOFIYKO
SOFIETJE,SOFIJA
SOFIETJE,ŽOFIE
SOFIYKO,BOHLALE
SOFIYKO,SOFIE
SOFIYKO,SOFIYA
SOFIYKO,HIKMAT
SOFIYKO,SOFIETJE
SOFIYKO,SOFIJA
SOFIYKO,ŽOFIE
SOFIJA,BOHLALE
SOFIJA,SOFIE
SOFIJA,SOFIYA
SOFIJA,HIKMAT
SOFIJA,SOFIETJE
SOFIJA,SOFIYKO
SOFIJA,ŽOFIE
ŽOFIE,BOHLALE
ŽOFIE,SOFIE
ŽOFIE,SOFIYA
ŽOFIE,HIKMAT
ŽOFIE,SOFIETJE
ŽOFIE,SOFIYKO
ŽOFIE,SOFIJA
THABO,AINA
THABO,PERGROUHI
THABO,BOITUMELO
THABO,GËZIM
THABO,GAZMEND
THABO,FURAHA
AINA,THABO
AINA,PERGROUHI
AINA,BOITUMELO
AINA,GËZIM
AINA,GAZMEND
AINA,FURAHA
PERGROUHI,THABO
PERGROUHI,AINA
PERGROUHI,BOITUMELO
PERGROUHI,GËZIM
PERGROUHI,GAZMEND
PERGROUHI,FURAHA
BOITUMELO,THABO
BOITUMELO,AINA
BOITUMELO,PERGROUHI
BOITUMELO,GËZIM
BOITUMELO,GAZMEND
BOITUMELO,FURAHA
GËZIM,THABO
GËZIM,AINA
GËZIM,PERGROUHI
GËZIM,BOITUMELO
GËZIM,GAZMEND
GËZIM,FURAHA
GAZMEND,THABO
GAZMEND,AINA
GAZMEND,PERGROUHI
GAZMEND,BOITUMELO
GAZMEND,GËZIM
GAZMEND,FURAHA
FURAHA,THABO
FURAHA,AINA
FURAHA,PERGROUHI
FURAHA,BOITUMELO
FURAHA,GËZIM
FURAHA,GAZMEND
BONGANI,TENDAI
TENDAI,BONGANI
PUENGI,LAYLA
PUENGI,BUZIBA
PUENGI,LAILA
PUENGI,LEILA
PUENGI,LEILAH
LAYLA,PUENGI
LAYLA,BUZIBA
LAYLA,LAILA
LAYLA,LEILA
LAYLA,LEILAH
BUZIBA,PUENGI
BUZIBA,LAYLA
BUZIBA,LAILA
BUZIBA,LEILA
BUZIBA,LEILAH
LAILA,PUENGI
LAILA,LAYLA
LAILA,BUZIBA
LAILA,LEILA
LAILA,LEILAH
