sentence,mdd,t_depth,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords
והנפיחות בעיניים?,3.75,4,0,1,2,15,7.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ככלל, כדאי להיות קשובים לגוף וכשאשר מופיעים סימנים חריגים דוגמת קוצר נשימה במאמץ, כאבים בלתי אופייניים בחזה - ולא להסס ולפנות להתייעצות רפואית או לעזרה רפואית.",14.82,34,1,25,25,130,5.2,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,8,14,4,6,4,6,4,2,2,2,0,0,0,0,0,0,0,0,2
"הצגה עצמיתתחילה תתבקש לפרט את המחלות או הליקויים הרפואיים שאתה סובל מהם, וכיצד הם משפיעים על אורך חייך והתפקוד היום-יומי.",14.41,28,1,19,21,99,4.714,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,12,4,2,2,12,4,4,4,2,0,0,2,2,2,2,4,2,0,0,0,4
"מגמת משרד החינוך הינה לשלב את הילד בעל הצרכים המיוחדים בחינוך הרגיל, לפיכך הפניית תלמיד לחינוך מיוחד תיערך רק לאחר שמוצו כל אפשרויות הטיפול בחינוך הרגיל.",18.42,36,1,25,26,126,4.846,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,8,20,0,0,6,8,0,2,2,2,0,2,0,4,2,0,0,4
"בייעוץ כזה יובאו בחשבון המסלול, משך הטיול, אופיו, ההיסטוריה הרפואית האישית, התרופות הקבועות שאותן נוטלים, אלרגיות שונות שמהן סובלים, המצב החיסוני – וכל המשתנים הרלוונטיים.",19.7,43,1,24,24,139,5.792,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,8,6,28,2,0,14,2,0,0,0,0,2,4,2,0,2,2,0,1
"מי שלא מלאו לו 20, יכול להיות זכאי לדמי אבטלה במקרים מסוימים - למידע נוסף לחצו כאן.",9.65,19,1,16,16,64,4.0,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,4,8,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,4,4
"אתה תושב השטחים בעל תעודת זהות ישראלית, ונפגעת בתחום הקו הירוק.",7.36,16,1,10,11,51,4.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,2,0,2,10,0,0,0,0,0,0,2,0,0,0,0,1
"אצטדיון ספורט, למעט במקומות שהוקצו לעישון בידי הנהלת האצטדיון, אם הוקצו, כמפורט בחוק.",11.05,24,1,12,13,69,5.308,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,8,12,0,2,2,2,0,0,2,0,0,2,0,2,0,0,0,1
לעיתים העור של התינוק יבש ונוטה לקילוף.,6.11,9,1,6,7,32,4.571,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1
"טיפול התפתחותי לילד - התהליך המלא עם הגעתכם לרופא הילדים (בעקבות המלצה של גורם מקצועי או בשל חששות שהתעוררו אצלכם), יבחן הרופא את השאלונים שבידיכם, יקשיב לבקשתכם ויחליט אם להפנות את הילד לאבחון.",22.44,45,1,32,32,156,4.875,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,26,10,4,10,14,2,0,4,6,0,0,4,4,0,4,0,4,0,0,0,6
