sentence,summarizing
לא עשינו זאת מעולם.,0
זה מסובך מדי.,0
אין לנו משאבים.,0
זה לעולם לא יעבוד.,0
אין לנו מספיק זמן.,0
כבר ניסינו זאת.,0
אין סיכוי שזה יעבוד.,0
זה בזבוז כסף.,0
זה יהרוג את המכירות הנוכחיות.,0
חסרה לנו מומחיות בתחום הזה.,0
אנחנו לא יכולים להתחרות.,0
המפיצים לא ירצו זאת.,0
זה מספיק טוב כמו שזה.,0
אין לנו מספיק כסף.,0
אין לנו מספיק מקום.,0
זה לא ניתן להשגה.,0
אין לי רעיונות.,0
זה שינוי מהפכני מדי.,0
זה בניגוד למדיניות הקיימת.,0
אני לא יכול.,0
יש לנו הזדמנות להיות ראשונים.,0
בוא נסתכל על זה מזווית אחרת.,0
הצורך הוא אבי כל המצאה.,0
בואו ננסה.,0
נעריך מחדש את סדרי הקדימויות.,0
למדנו מהניסיון שלנו.,0
אנחנו יכולים לגרום לזה לעבוד.,0
התוצאה תצדיק את ההשקעה.,0
נעשה זאת לפני שהמתחרים יעשו זאת.,0
נצרף לשורותינו מומחה בתחום.,0
בוא ננצח בתחרות.,0
נראה להם את התועלת והיתרונות.,0
בכל פאזל יש המון חלקים.,0
"יש קטנים ויש גדולים, צהובים וכחולים.",0
אבל אם כל חלק יעמוד לו בצד.,0
ולא יעזור בגלל שהוא מיוחד.,0
אז כמה שינסו לא יצליחו.,0
את הפאזל לגמור.,0
ותמיד יישאר באיזשהו מקום חור.,0
אך אם כל אחד ישלים את השני.,0
"ומה שלא תצליח אתה, אעשה אני.",0
אז נקבל תמונה נפלאה.,0
של המון אהבה ושיתוף פעולה.,0
"למדורת ל""ג בעומר.",0
תמיד יש אחד.,0
שרק עושה את עצמו שמרים.,0
אבל באמת נותן לסחוב.,0
לכל האחרים.,0
סיפורים קצרים.,0
מלאי מסרים.,0
לכל גיל וזמן.,0
ולמרחב המוגן.,0
איש עשיר יצא לספארי באפריקה עם כלב התחש שלו.,0
יום אחד הכלב הקטן הלך לאיבוד ביער.,0
פתאום רואה הכלב שנמר מתכוון לטרוף אותו.,0
הכלב הזה כמעט אכל אותי.,0
"חשב הנמר, הסתובב וברח משם בזחילה.",0
רדף הקוף אחרי הנמר.,0
סיפר לו איך הכלב עשה ממנו צחוק.,0
הנמר התעצבן ואמר לקוף לשבת.,0
אנו פוחדים ממה שיוצר מוחנו.,0
באופן דומה להשפיע על אחרים.,0
חמורו של האיכר הסתובב בחצר.,0
נפל לבאר הישנה והיבשה.,0
האיכר ניגש לבאר אך לא ידע מה עשות.,0
החל החמור לנעור ולקרוא לעזרה. ,0
הזדמנות גם לסתום אותה ולנקות את החצר.,0
קרא האיכר לכל שכניו.,0
כולם באו עם מעדרים ואתים.,0
מתלונן על מר גורלו.,0
לאחר מספר רגעים השתתק.,0
ראה כי החמור עומד בבאר.,0
על ארבע רגליו.,0
הוא ניער אותו מגבו.,0
הזבל הלך והצטבר.,0
החמור עלה עוד למעלה.,0
החמור צעד החוצה מן הבאר הנטושה.,0
גם אם זורקים עליך זבל.,0
יש לנער את הזבל המושלך.,0
מספרים על שליט במדינה קטנה.,0
שלהוט היה להשתתף בתחרות.,0
קבעה אחת משכנותיו הגדולות.,0
זימן השליט את טובי.,0
אסור היה לו אישית לשחק.,0
אלא לנהל את המדינה.,0
אבל וחפוי ראש חזר השליט.,0
מכיוון שכולם בזו לו ולמדינתו.,0
החליט ללמד את עמו.,0
שכר את האלוף המנצח.,0
באופן אקראי יזמין שנים.,0
שניים ליום שיצטרכו להתמודד.,0
יפסידו את כל רכושם.,0
לנצח וזכו בממון רב.,0
האלוף שגם הוא הלך.,0
ביטל השליט את הגזרה.,0
קבע במקומה תחרות שנתית.,0
לשלם דמי תחרות.,0
הזוכה קיבל את מחצית הסכום.,0
הוצאות הארגון וניהול התחרות.,0
שני המקומות הבאים אחריו.,0
זכו ביחד ברבע מהסכום.,0
מאז כל שנה זכתה.,0
נבחרתו וקיבלה ממון רב מהמדינות.,0
השכנות שבזו לה בתחילה.,0
כיצד אתם מתמודדים עם מתחריכם.,0
האם בתוצאות או בהסברים ותירוצים.,0
כיצד אתם מלמדים את עצמכם.,0
ולא לאבד את כל רכושכם.,0
בת הטבח התלוננה בשיחה.,0
בהתמודדות עם הבעיות בחיים.,0
הטבח הובילה למטבח והראה.,0
שלושה סירים בהם רתחו מים.,0
בסיר הראשון הוא שם גזר.,0
בסיר השני הכניס ביצה.,0
בסיר השלישי שפך גרגירי קפה.,0
לאחר זמן מה שלף הטבח.,0
והניח אותה בקערה.,0
סינן את הקפה ומזג אותו בספל.,0
"מה את רואה, יקירתי?",0
הבת התקרבה לשולחן ובחנה את התוצרים.,0
הגזר היה רך ונמעך.,0
היא קילפה את הביצה שהייתה קשה.,0
הקפה הדיף ריח נפלא.,0
טעמו היה טוב ומענג.,0
כך בני אדם שונים המתמודדים עם קושי זהה.,0
המים הרותחים הם אותו מצב.,0
המים הרותחים הם אותו מצב.,0
ניתן עכשיו לפורר אותו בקלות.,0
הביצה שהגיעה עדינה ונוזלית.,0
"תחת קליפתה הדקה, התקשתה כולה.",0
לאחר שהותם במים הרותחים.,0
לאחר שהותם במים הרותחים.,0
לאיזה מהם את דומה בתי היקרה?,0
"כאשר בעיות מגיעות למפתן דלתך, איך את מגיבה?",0
