sentence,NOUN,VERB,ADV,AUX,ADJ,ADP,PUNCT,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes
לצורך זה לומדים הסוכרתיים לבדוק בעצמם את רמת הסוכר בדמם.,4,2,3,0,0,1,1,10,46,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"חשוב להתייצב בשירות התעסוקה בסמוך להפסקת העבודה גם אם הפסקת לעבוד מרצונך, כדי לממש את זכאותך לדמי אבטלה.",8,4,2,0,0,2,2,18,85,4.722,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"עם זאת, הנקה עשויה להיות מאתגרת בהתחלה.",2,2,1,0,1,1,2,7,31,4.429,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"תנאי שני – גילמלאו לך 20 שנה, ועדיין לא הגעת לגיל 6",4,1,1,0,0,1,1,11,38,3.455,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"עד לגילוי האינסולין (על ידי שני חוקרים קנדים: חתן פרס נובל ד""ר פרדריק בנטינג ושותפו למחקר ד""ר צ'רלס בסט) מי שחלה בסוכרת נעורים היה מת בתוך זמן לא רב לאחר גילוי המחלה.",19,0,3,1,1,4,7,35,128,3.657,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
פגיעת איבה בחוץ לארץפגיעה שאירעה בחוץ לארץ תוכר כפגיעת איבה אם מטרתה הייתה פגיעה בישראל או בעם היהודי.,10,3,0,0,1,2,1,18,84,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"דו""ח קלינאית תקשורת של קופת חולים (לא פרטי)/ מרפאה בעיסוק (אם רלוונטי לקשיי הילד)אבחון פסיכולוגי.",12,0,1,0,1,1,7,17,76,4.471,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
לאחר שתתקבל החלטה בתביעתך תישלח אליך הודעה אליה יצורף עותק מהפרוטוקול הרפואי של הוועדה.,8,3,2,0,0,1,1,14,73,5.214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"יש להביא בחשבון, כי בנסיבות מסוימות, ובהתחשב במצב הבריאותי, הרופאים עשויים להמליץ גם לבצע שינוי מהותי במסלול, או אף לדחות את הנסיעה.",10,6,1,0,0,1,5,22,106,4.818,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
נוסעים מבוגרים רבים סבורים שחיסוני הילדות שקיבלו עדיין מגנים עליהם.,5,2,3,0,0,0,1,10,57,5.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"כדי למנוע גירוי בעור, החליפו את החיתולים בזמן.",4,1,1,0,0,2,2,8,37,4.625,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"צהבת פיזיולוגית היא לא מחלה, אלא תופעה, ולכן אינה מידבקת.",4,0,3,1,0,0,3,10,45,4.5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
חלב אם הוא המזון המושלם לתינוק.,4,0,0,1,1,0,1,6,25,4.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ב 29- למאי 2012 –ח' בסיוון התשע""ב הורחב החוק באישור ועדת העבודה הרווחה והבריאות של הכנסת ובוצעו שינויים בתוספת לחוק.",15,1,1,0,0,2,4,21,92,4.381,6,5,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0
"אצטדיון ספורט, למעט במקומות שהוקצו לעישון בידי הנהלת האצטדיון, אם הוקצו, כמפורט בחוק.",8,2,1,0,0,1,4,13,69,5.308,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"הועדה קובעת את המסגרת החינוכית בה ישובצו התלמידים לאחר שקיבלו זכאות לחינוך מיוחד במעמד ועדת השמה, וכן דנה בהעברת תלמידים בין מסגרות החינוך המיוחד.",15,4,3,0,0,2,2,24,121,5.042,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
מי לא זכאי לדמי אבטלה?,1,2,0,0,0,0,1,5,17,3.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
