NumOf_Words,NumOf_Let,Word_Avg_Size,NumOf_Stopwords,NumOf_Number_Char,NumOf_#,NumOf_@,NumOf_Other_Sym,NumOf_Caps_Words
18,79,4.389,10,0,1,1,3,0
21,93,4.429,5,0,3,2,8,0
3,17,5.667,1,0,0,0,0,0
19,42,2.211,5,0,1,0,36,0
4,30,7.5,1,0,1,0,2,0
20,90,4.5,7,2,1,0,6,0
11,53,4.818,0,0,0,8,11,0
23,106,4.609,6,0,7,0,17,0
11,62,5.636,3,0,5,0,14,0
10,29,2.9,4,1,1,2,7,0
20,78,3.9,3,4,5,0,14,0
13,107,8.231,3,0,10,0,11,0
9,37,4.111,3,2,2,0,4,0
11,53,4.818,1,0,3,1,8,0
9,82,9.111,2,0,6,0,7,0
8,38,4.75,1,1,4,0,11,0
9,42,4.667,5,0,2,0,3,0
4,17,4.25,2,0,0,0,1,0
13,55,4.231,2,0,2,1,9,0
11,45,4.091,6,0,0,0,2,0
23,101,4.391,8,4,1,0,2,0
9,51,5.667,0,0,6,0,8,0
21,70,3.333,8,0,2,0,9,0
10,33,3.3,4,0,0,2,4,0
14,66,4.714,2,0,6,6,13,0
11,60,5.455,2,6,3,0,7,0
19,79,4.158,4,0,6,1,33,0
13,57,4.385,7,2,1,0,1,0
9,23,2.556,0,0,0,1,18,0
26,109,4.192,9,3,2,0,3,0
24,99,4.125,15,0,0,0,1,0
11,64,5.818,2,0,6,4,10,0
20,95,4.75,5,0,0,1,5,0
16,85,5.312,5,0,2,0,4,0
17,82,4.824,7,2,2,0,6,0
20,84,4.2,12,4,1,0,3,0
4,35,8.75,0,0,3,0,5,0
13,104,8.0,5,0,4,1,7,0
17,72,4.235,7,1,1,0,5,0
7,38,5.429,3,0,2,0,3,0
15,76,5.067,7,0,2,0,6,0
22,77,3.5,11,0,0,0,6,0
10,48,4.8,5,0,0,0,2,0
17,61,3.588,6,0,0,1,10,0
10,77,7.7,0,0,7,0,7,0
6,33,5.5,2,0,3,0,5,0
19,42,2.211,5,0,1,0,36,0
6,31,5.167,1,0,3,0,4,0
3,23,7.667,0,0,1,0,1,0
16,43,2.688,6,0,0,0,22,0
10,62,6.2,1,5,3,0,3,0
21,60,2.857,7,0,5,1,30,0
11,56,5.091,6,0,1,1,3,0
6,26,4.333,1,0,0,1,7,0
14,60,4.286,2,0,2,1,21,0
11,54,4.909,4,0,0,0,0,0
6,29,4.833,1,0,2,1,3,0
13,62,4.769,0,0,7,0,12,0
15,70,4.667,2,0,5,1,18,0
